Timestamp;Metoda;Pi;Dokladnosc;Iteracje;Czas
1685379707.9136157;Brouncker;3.1415906536057934;5;500000;0.13895535469055176
1685379707.9136157;Gauss Lagendre;3.141592653589794;14;1000;0.0008332729339599609
1685379707.9136157;Leibniz;3.141590653589692;5;500000;0.11481022834777832
1685379707.9136157;Monte Carlo;3.139228;1;1000000;0.6280479431152344
1685379707.9136157;Nilakanth;3.1414067184965018;3;10;3.123283386230469e-05
1685379707.9136157;Ramanujan;3.141592653589793;15;4;4.935264587402344e-05
